,Name,Latitude,Longitude,geometry
0,Amen Bank,36.8322639,10.2365962,POINT (10.2365962 36.8322639)
1,Amen Bank - Charguia II,36.85520285,10.20879191717349,POINT (10.20879191717349 36.85520285)
2,Amen Bank - La Manouba,36.8198765,10.0943616,POINT (10.0943616 36.8198765)
3,Amen Banque,36.8327021,10.1185028,POINT (10.1185028 36.8327021)
4,Amen Bank - La Soukra,36.865396,10.2199491,POINT (10.2199491 36.865396)
5,Amen bank Ettahrir,36.8327021,10.1185028,POINT (10.1185028 36.8327021)
6,Agence amen bank,36.8377396,10.2372692,POINT (10.2372692 36.8377396)
7,Banque el amen,35.5401075,11.0291688,POINT (11.0291688 35.5401075)
8,Amen BANK - ENFIDHA,36.1325568,10.3742891,POINT (10.3742891 36.1325568)
9,Banque Al-Amen,35.1695987,8.8382006,POINT (8.8382006 35.1695987)
10,AMEN BANK MOKNINE,35.6275423,10.8943215,POINT (10.8943215 35.6275423)
11,AMEN BANQUE,36.8327021,10.1185028,POINT (10.1185028 36.8327021)
12,Amen Bank - SFAX THYNA,34.7288531,10.7439863,POINT (10.7439863 34.7288531)
13,Amen Bank - Chihia,34.788095,10.7451944,POINT (10.7451944 34.788095)
14,Amen Bank Monastir,35.64885,10.8846856,POINT (10.8846856 35.64885)
15,Amen Bank - بنك الأمان,34.7650033,10.7131759,POINT (10.7131759 34.7650033)
16,Attijari bank,33.7053729,8.97295275,POINT (8.972952749999999 33.7053729)
17,ATB Jendouba,36.5008735,8.7797989,POINT (8.779798899999999 36.5008735)
18,Zaghouan,36.3319504,10.045299971877625,POINT (10.04529997187763 36.3319504)
19,Agence ATB Nabeul,36.6502147,10.59109367376348,POINT (10.59109367376348 36.6502147)
20,BTS Nabeul,36.4547834,10.7413155,POINT (10.7413155 36.4547834)
21,Sousse,35.8288175,10.6405392,POINT (10.6405392 35.8288175)
22,societé tunisienne de banques,36.8475631,11.0918687,POINT (11.0918687 36.8475631)
23,ATB Gabés,33.8622257,10.1040428,POINT (10.1040428 33.8622257)
24,MEDENINE,32.981998700000005,11.287025364730832,POINT (11.28702536473083 32.98199870000001)
25,Tataouine,31.7317009,9.770219749624271,POINT (9.770219749624271 31.7317009)
26,ATB Tozeur,33.922296,8.1340777,POINT (8.134077700000001 33.922296)
27,Tozeur,33.984410499999996,8.07113085067842,POINT (8.07113085067842 33.9844105)
28,Banque de l'habitat Gafsa,34.4182055,8.7899691,POINT (8.7899691 34.4182055)
29,BIAT Kasserine,35.1698092,8.8386136,POINT (8.8386136 35.1698092)
30,Le Kef,36.03576425,8.72493808761197,POINT (8.724938087611971 36.03576425)
31,ATB Bizerte,37.2972758,9.8678557,POINT (9.8678557 37.2972758)
32,Siliana,35.9715323,9.3577128756367,POINT (9.3577128756367 35.9715323)
33,Sidi Bouzid,34.881181,9.526359847182345,POINT (9.526359847182345 34.881181)
34,ATB Kairouan,35.67137985,10.102615240725125,POINT (10.10261524072513 35.67137985)
35,Bank ABC - Agence Raoued,36.8964534,10.1811846,POINT (10.1811846 36.8964534)
